Ubigeo,Departamento,Superficie,Latitud_Y,Longitud_X
01,Amazonas,153.78,-6.2294,-77.8714
02,Ancash,432.99,-9.5272,-77.5333
03,Apurimac,313.07,-13.6367,-72.8792
04,Arequipa,2.8,-16.4008,-71.5378
05,Ayacucho,83.11,-13.1542,-74.2228
06,Cajamarca,382.74,-7.1564,-78.5153
07,Callao,45.65,-12.0603,-77.1492
08,Cusco,116.22,-13.5153,-71.98
09,Huancavelica,514.1,-12.7869,-74.9756
10,Huanuco,126.23,-9.9269,-76.2403
11,Ica,887.51,-14.0678,-75.7319
12,Junin,237.55,-12.0703,-75.2139
13,La Libertad,39.36,-8.1094,-79.0333
14,Lambayeque,50.35,-6.7736,-79.8397
15,Lima,21.98,-12.0467,-77.0322
16,Loreto,358.15,-3.7497,-73.2619
17,Madre de Dios,22218.56,-12.5972,-69.1875
18,Moquegua,3949.04,-17.195,-70.9369
19,Pasco,6.66,-10.6828,-76.2556
20,Piura,196.15,-5.1942,-80.6289
21,Puno,460.63,-15.8406,-70.0278
22,San Martin,2737.57,-6.0283,-76.9719
23,Tacna,1877.78,-18.01,-70.2478
24,Tumbes,158.14,-3.5647,-80.4536
25,Ucayali,10485.41,-8.3828,-74.5322
