ubigeo,departamento,provincia,distrito,capital_legal,latitud,longitud
010101,Amazonas,Chachapoyas,Chachapoyas,Chachapoyas,-6.22944444,-77.87277778
010102,Amazonas,Chachapoyas,Asunción,Asunción,-6.0325,-77.71083333
010103,Amazonas,Chachapoyas,Balsas,Balsas,-6.83583333,-78.01972222
010104,Amazonas,Chachapoyas,Cheto,Cheto,-6.25555556,-77.70083333
010105,Amazonas,Chachapoyas,Chiliquín,Chiliquín,-6.07833333,-77.7375
010106,Amazonas,Chachapoyas,Chuquibamba,Chuquibamba,-6.935,-77.85416667
010107,Amazonas,Chachapoyas,Granada,Granada,-6.10638889,-77.62861111
010108,Amazonas,Chachapoyas,Huancas,Huancas,-6.17361111,-77.86444444
010109,Amazonas,Chachapoyas,La Jalca,La Jalca,-6.48472222,-77.815
010110,Amazonas,Chachapoyas,Leimebamba,Leimebamba,-6.7075,-77.80388889
010111,Amazonas,Chachapoyas,Levanto,Levanto,-6.30777778,-77.89916667
010112,Amazonas,Chachapoyas,Magdalena,Magdalena,-6.37305556,-77.90166667
010113,Amazonas,Chachapoyas,Mariscal Castilla,Duraznopampa,-6.59444444,-77.80861111
010114,Amazonas,Chachapoyas,Molinopampa,Molinopampa,-6.20916667,-77.66916667
010115,Amazonas,Chachapoyas,Montevideo,Montevideo,-6.61805556,-77.80222222
010116,Amazonas,Chachapoyas,Olleros,Olleros,-6.02388889,-77.67638889
010117,Amazonas,Chachapoyas,Quinjalca,Quinjalca,-6.09138889,-77.67861111
010118,Amazonas,Chachapoyas,San Francisco de Daguas,Daguas,-6.22916667,-77.74
010119,Amazonas,Chachapoyas,San Isidro de Maino,Maino,-6.33722222,-77.88055556
010120,Amazonas,Chachapoyas,Soloco,Soloco,-6.26055556,-77.74416667
010121,Amazonas,Chachapoyas,Sonche,San Juan de Sonche,-6.21888889,-77.77527778
010201,Amazonas,Bagua,Bagua,Bagua,-5.63888889,-78.53111111
010202,Amazonas,Bagua,Aramango,Aramango,-5.41638889,-78.43777778
010203,Amazonas,Bagua,Copallín,Copallín,-5.675,-78.42305556
010204,Amazonas,Bagua,El Parco,El Parco,-5.625,-78.47527778
010205,Amazonas,Bagua,Imaza,Chiriaco,-5.16361111,-78.28888889
010206,Amazonas,Bagua,La Peca,La Peca,-5.61194444,-78.43694444
010301,Amazonas,Bongará,Jumbilla,Jumbilla,-5.90444444,-77.79777778
010302,Amazonas,Bongará,Chisquilla,Chisquilla,-5.8975,-77.78611111
010303,Amazonas,Bongará,Churuja,Churuja,-6.01944444,-77.95194444
010304,Amazonas,Bongará,Corosha,Corosha,-5.84333333,-77.8225
010305,Amazonas,Bongará,Cuispes,Cuispes,-5.92833333,-77.94611111
010306,Amazonas,Bongará,Florida,Florida (Pomacochas),-5.82611111,-77.96944444
010307,Amazonas,Bongará,Jazán,Pedro Ruiz Gallo,-5.94138889,-77.97722222
010308,Amazonas,Bongará,Recta,Recta,-5.91777778,-77.78888889
010309,Amazonas,Bongará,San Carlos,San Carlos,-5.96611111,-77.94527778
010310,Amazonas,Bongará,Shipasbamba,Shipasbamba,-5.91055556,-77.98055556
010311,Amazonas,Bongará,Valera,Valera (San Pablo),-6.04277778,-77.91916667
010312,Amazonas,Bongará,Yambrasbamba,Yambrasbamba,-5.73527778,-77.925
010401,Amazonas,Condorcanqui,Nieva,Santa María de Nieva,-4.59222222,-77.86444444
010402,Amazonas,Condorcanqui,El Cenepa,Huampami,-4.45555556,-78.15888889
010403,Amazonas,Condorcanqui,Río Santiago,Puerto Galilea,-4.01583333,-77.76083333
010501,Amazonas,Luya,Lámud,Lámud,-6.13916667,-77.95222222
010502,Amazonas,Luya,Camporredondo,Camporredondo,-6.21333333,-78.32
010503,Amazonas,Luya,Cocabamba,Cocabamba,-6.61416667,-78.005
010504,Amazonas,Luya,Colcamar,Colcamar,-6.29944444,-77.97305556
010505,Amazonas,Luya,Conila,Cohechan,-6.15916667,-78.14194444
010506,Amazonas,Luya,Inguilpata,Inguilpata,-6.23944444,-77.95388889
010507,Amazonas,Luya,Longuita,Longuita,-6.41361111,-77.96833333
010508,Amazonas,Luya,Lonya Chico,Lonya Chico,-6.22972222,-77.955
010509,Amazonas,Luya,Luya,Luya,-6.16416667,-77.94416667
010510,Amazonas,Luya,Luya Viejo,Luya Viejo,-6.1275,-78.085
010511,Amazonas,Luya,María,María,-6.42888889,-77.96083333
010512,Amazonas,Luya,Ocalli,Ocalli,-6.23527778,-78.26638889
010513,Amazonas,Luya,Ocumal,Collonce,-6.2825,-78.21083333
010514,Amazonas,Luya,Pisuquia,Yomblon,-6.45333333,-78.09194444
010515,Amazonas,Luya,Providencia,Providencia,-6.29722222,-78.24083333
010516,Amazonas,Luya,San Cristóbal,Olto,-6.10166667,-77.95972222
010517,Amazonas,Luya,San Francisco del Yeso,San Francisco del Yeso,-6.64694444,-77.81166667
010518,Amazonas,Luya,San Jerónimo,Paclas,-6.05972222,-77.97444444
010519,Amazonas,Luya,San Juan de Lopecancha,San Juan de Lopecancha,-6.49638889,-77.86194444
